670,万,地铁口物业 户型方正 满五唯一
485,万,高层朝东南 户型方正 红本在手  四条地铁线交汇
810,万,房子满五年，大三房，户型方正，通风采光好
900,万,合正名园二期 花园社区带泳池 南向高层 远望高尔夫
540,万,朝南通透*3房，户型方正精装修
600,万,莲花北村   优质3房   A户型
468,万,科学馆地铁物业，杰恩大厦大三房，业主诚卖
410,万,满五唯一，红本在手，经典复式，总价低
1000,万,长城二花园三房自用装修业主诚意出售
930,万,原始户型3+1房，少有放卖，业主诚心出售
900,万,万科景田地铁口温馨三房，大社区
825,万,竹园小区、86年老社区，拆迁比1:1.4+四大深高
660,万,莲花北村   优质三房   户型方正   采光好
1120,万,石厦天健阳光华苑   安静西南大四房    家庭唯一
539,万,凯丰花园一期大三房装修好，通风采光好。
245,万,小户型总价低  南向单间  诚售
628,万,满五唯一  交通方便 生活配套齐全
2650,万,业主诚售，看房方便，全新装修，户型采光好
565,万,财富广场 1室1厅 565万
310,万,海滨大社区，32栋花园小户型在卖。税费少
580,万,下梅林地铁口物业，大3房朝南，三房舒适
720,万,"带社区，地铁口物业，住家安静,满五唯一"
520,万,地铁口物业，上下两层正常层高，满五唯一业主诚心卖
750,万,碧荔花园新装修大四房双阳台地铁口
550,万,星座大厦 满2年方正实用2房 安静住家 视野开阔住家好
580,万,翰林苑两房 客厅大阳台 户型方正
435,万,满五年唯一红本，交通方便，使用率高小三房业主诚心
670,万,电梯南向三房 红本在手满五年 诚心出售 可安排看房
390,万,三地铁，双口岸物业，高楼层户型方正，双阳台
728,万,景田西小区方正大四房 南北通透 中间楼层
