1500,万,新上房源  海怡东方 安静三房 大露台户型 泳池景观
690,万,现代城华庭 3室1厅 690万
1180,万,英伦名苑一期 南北向 一梯两户 中间楼层
2150,万,红树西岸复式3房   2栋看海景和高尔夫景观  一手业主
850,万,（必看笋盘）2016年国企开发 地铁物业 3T4户 单价6万
156,万,华侨城片区小户型一房，总价低，前提过渡
350,万,前海自贸区 绿海名都 南向一房诚售
949,万,中海丽苑 精装 大三房 业主诚心卖
660,万,麒麟花园A区 2室1厅 660万
650,万,南景苑 3室2厅 650万
690,万,客厅朝南四房，不临街，8平米的阳台，稀有户型
480,万,割爱诚售：小区中间 满五唯一红本两房 税费少
3500,万,深圳湾滨海六房 270度景观阳台看春茧和深圳湾
780,万,次新小区，依山傍水，三房两卫，南向看塘朗山景观
725,万,满五唯一，红本，户型方正，高楼层，看花园泳池
1900,万,满5年，户型方正格局好，同卖性价高！
296,万,时代骄子标准一房一厅户型，客厅侧出阳台。满五唯一
950,万,半岛城邦一期 少有高层看海放售 精装修 安静采光好
780,万,业主诚心卖 两房*三房 住家安静，
1880,万,华润城二期 3房2厅2卫 经典户型 无可挑剔
730,万,荔海楼 红本 满五唯一 诚心出售
750,万,中层海景房，视野永无遮挡，  满5年唯一
970,万,润府一期，标准两房两厅两卫户型，精装修可拎包入住
1080,万,海月花园一期 4室2厅 1080万
415,万,龙都名园 2室1厅 415万
515,万,后海商圈，满五唯一居家三房，业主诚心出售
960,万,南山次新盘  满2年 业主诚意出售  看房方便  欢迎联系
480,万,桃源村二期 3室1厅 480万
388,万,南向小二房，小高层电梯房，交通便利，诚心出售
498,万,世纪假日广场 精装两房 业主诚心出售 地铁口物业
