2750,万,客厅出大阳台直线看海景满2年南向双线地铁口
450,万,翠景居 3室2厅 450万
1300,万,高楼层 通风采光好 看全湖景 居家安静
445,万,此房业主诚心出售，标准两房户型，全新装修，满三年
750,万,宝中标准三房   双地铁口   户型方正
588,万,同和悦园，方正四房，看房方便，价格可议
448,万,裕安楼底铺业主诚心出售，未来潜力无限。
1200,万,精装修，复式五房，高楼层，朝南看花园
680,万,住家装修，精装自住，看花园看海
1200,万,总裁公寓大三房 中间楼层，高档配置，采光好
160,万,宝田雅苑  满五年红本在手 西南大单间
850,万,御龙居少有顶楼带花园户型采光通风不错你值得一看
675,万,双地铁口 电梯 精装复式大四房， 高厅3.9米
350,万,房型方正 带装修 客厅正出大阳台 配套齐全 双地铁口
1800,万,房子满两年 东南看花园 通透户型 住家安静
330,万,居家简单装修电梯两房 看山看海 看房方便
450,万,低密度小区优选三房，满两年，户型方正。
2350,万,壹方城旁 宝安地铁站 标准大五房 业主急售
255,万,西城品阁 复式两房 满两年 税费少 天虹沃尔玛购物方便
1720,万,勤诚达大户型正南向看灵芝公园全景视野开阔心情愉悦
1450,万,中海九号公馆 复式毛坯5房 英伦风格小区
800,万,西乡地铁上 天虹楼上汇一城复式6房 东南向诚心售
265,万,桃源居三区 1室2厅 265万
336,万,富通城三期 双地铁口2房 小户型 过度  配套成熟
450,万,平台花园带入户大两房 实用率高 满五唯一红本 税费少
390,万,桃源居十二区 2室2厅 390万
425,万,机场快线物业 三房改四房使用率高
700,万,泰华锦绣城5房，精装修，随时可以看房
340,万,高楼层朝东南  电梯3房  装修保养不错  看房方便
430,万,户型方正实用，房子东南朝向，通风采光好
